ID,Name,Country,Events_2025,Total_Heats,Tours
1866,David Machin,Canary Islands,0,0,
10112,David Mugica,Spain,1,1,MQS
3325,David Sosa Gonzalez,Canary Islands,1,1,MQS
5310,David Arbelo Lemes,Canary Islands,0,0,
7537,David Yaxkin Munoz Ponnet,Spain,1,1,MJUN
13166,Demian Caceres Alge,Spain,1,1,MQS
7132,Derick Stahl,Spain,1,0,MQS
20542,Diego Allegue,Spain,1,2,MJUN
8289,Diego Cela,Spain,0,0,
9152,Diego Garcia,Spain,1,1,MQS
5317,Diego Garciacela,Spain,0,0,
10621,Diego Lourido Alvarez,Spain,1,1,MQS
15824,Diego Martin,Spain,0,0,
14442,Diego Martin Gomez,Basque Country,4,8,"MQS, MJUN"
4469,Diego Suarez Diaz,Canary Islands,7,16,"MQS, MJUN"
12500,Diego Alejandro Pulido,Spain,1,1,MJUN
16063,Dylan Donegan Dos Santos,Spain,5,13,"MQS, MJUN"
2234,Echedey Jorge Mederos,Spain,0,0,
13615,Echedey Mederos,Canary Islands,0,0,
2224,Echedey Perez Santo,Canary Islands,0,0,
18636,Eder Fuentes,Basque Country,2,8,MJUN
686,Edith San Segundo,Basque Country,0,0,
2206,Eduardo Acosta,Canary Islands,1,2,MQS
5329,Eduardo Niederlechner,Canary Islands,0,0,
20508,Eloy Valle Juanes,Spain,0,0,
15884,Enara Palacios,Spain,2,3,WJUN
16326,Enara Zubeldia,Spain,0,0,
12607,Eñaut Salaberria,Basque Country,1,1,MQS
8954,Endika Garai,Spain,5,9,"MQS, MJUN"
590,Eneko Acero,Basque Country,1,1,MQS
8306,Eneko Martinez,Spain,0,0,
13404,Eneko Merino Zelaia,Basque Country,1,1,MQS
20036,Eneko Sagarduy,Basque Country,0,0,
12507,Enrique Fernandez,Spain,3,4,"MQS, MJUN"
682,Erika Franco,Spain,6,10,"WJUN, WQS"
4445,Eritz Urrusolo,Basque Country,3,6,MJUN
2897,Eriz Eizmendi,Basque Country,0,0,
4564,"Esteban Hermida, Rey",Spain,1,1,MQS
380,Estitxu Estremo,Spain,0,0,
1626,Estitxu Estremo,Spain,4,5,"WLT, WQS"
13552,Estitxu Estremo Saez De Ugarte,Spain,0,0,
755,Ethan Egiguren,Basque Country,6,15,"MQS, MJUN"
19751,Eu U12men Tester,Spain,0,0,
6009,Evandro Medeiros,Spain,0,0,
4026,Evandro Munoz,Spain,1,1,MQS
1867,Fabio Pagan,Canary Islands,0,0,
15790,Fekru Casal,Spain,0,0,
15826,Fekru Jiménez,Spain,3,4,MJUN
13622,Felipe Mendes,Canary Islands,0,0,
13623,Felix Ortega,Canary Islands,0,0,
2218,Felix Ortega,Canary Islands,0,0,
14384,Fernando Bacallado,Canary Islands,3,4,"MQS, MJUN"
13897,Fernando García Talavera,Canary Islands,0,0,
18085,Fernando Ibarra,Spain,2,3,MJUN
1879,Fernando Roca,Canary Islands,0,0,
16085,Ferran Palacios Fombuena,Spain,0,0,
683,Flavia Brana Arrondo,Spain,0,0,
3806,Francisco Mendiolagoitia,Spain,1,1,MQS
5340,Franito Saenz,Canary Islands,0,0,
10377,Franito Toledo,Canary Islands,1,2,MQS
5342,Fransisco Diaz,Canary Islands,0,0,
5343,Fransisco Yeray Gonzalez,Canary Islands,0,0,
6033,Gabi Garcia,Spain,0,0,
5344,Gabrial Bernaola,Basque Country,0,0,
11421,Gabriel Ortiz,Spain,3,5,MJUN
15654,Gabriela Bañuls Trigo,Spain,0,0,
2031,Garazi Sanchez-Ortun,Basque Country,4,4,"MQS, WCS, WQS"
8326,Gary Col,Basque Country,0,0,
13628,Gary Gonzalez Dominguez,Canary Islands,0,0,
5958,Gary Gonzalez Dominguez,Canary Islands,0,0,
14371,Gautier Garanx,Basque Country,0,0,
7206,German Avila,Spain,2,1,MQS
4449,Gesalaga Oliva,Basque Country,1,2,MJUN
602,Gony Zubizarreta,Spain,4,4,MQS
6057,Gonzalo Diez Uceda,Spain,0,0,
2895,Gonzalo Fernandez Garcia,Spain,0,0,
7170,Gonzalo Gutierrez,Spain,6,17,"MQS, MJUN"
15368,Gorka Arizmendi Martin,Spain,0,0,
5354,Gorka Biggi,Basque Country,0,0,
4707,Guille Gomez,Spain,2,2,"MQS, MJUN"
1643,Guillermo Alonso,Spain,0,0,
7184,Guillermo Barandiaran,Basque Country,1,0,MBWT
13810,Guillermo Gomez Reboreda,Spain,0,0,
13633,Guillermo Gomez-Reboreda,Spain,0,0,
13808,Guillermo Guillermo,Spain,0,0,
